alternative_id,alternative,criterion_id,criterion,lower,upper,rule,sources
a1,Legal-minimum scaling,g1,Frontier scientific/technological opportunity preservation,89.0,100.0,"a1-a3: observed access-preservation envelope 89-100% (EU 89%, UK 93%, Jan-May 2026 100%); a4=0 by definition of a frontier-scaling pause.",https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://openai.com/index/path-to-astra/
a1,Legal-minimum scaling,g2,Near-term economic/social benefit preservation,79.0,88.0,"Use the observed 2025 organizational adoption envelope 79-88% from Stanford AI Index 2026: 79% regularly use generative AI in at least one business function and 88% use AI in at least one business function. All regimes preserve already-deployed systems over the short horizon, so this criterion is intentionally non-discriminating.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
a1,Legal-minimum scaling,g3,Institutional feasibility,89.0,100.0,Existing legal regime: observed 89-100 implementation/access envelope.,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing ; https://www.governance.ai/research-paper/coordinated-pausing-evaluation-based-scheme
a1,Legal-minimum scaling,g4,International robustness / leakage resistance,40.85022977807577,60.98929739812439,CFR concentration share 46% (Wilson 95% CI) plus diffuse-state coverage capped by the <20% non-fragmented-governance share: c+(1-c)q.,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing
a1,Legal-minimum scaling,g5,Reversibility and control,71.70750829039247,79.71291130140034,Covers 4/5 high-consensus control practices; lacks explicit binding capability-triggered pause.,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://openai.com/index/path-to-astra/ ; https://www.anthropic.com/responsible-scaling-policy
a1,Legal-minimum scaling,g6,Auditability and external oversight,34.11793572511213,39.36038595854073,Covers external/regulatory scrutiny and incident reporting; lacks mandatory third-party model/governance audits and publication of external-review results.,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf ; https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act ; https://openai.com/index/openai-frontier-governance-framework/ ; https://www.anthropic.com/responsible-scaling-policy
a2,Developer-led responsible scaling,g1,Frontier scientific/technological opportunity preservation,89.0,100.0,"a1-a3: observed access-preservation envelope 89-100% (EU 89%, UK 93%, Jan-May 2026 100%); a4=0 by definition of a frontier-scaling pause.",https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://openai.com/index/path-to-astra/
a2,Developer-led responsible scaling,g2,Near-term economic/social benefit preservation,79.0,88.0,"Use the observed 2025 organizational adoption envelope 79-88% from Stanford AI Index 2026: 79% regularly use generative AI in at least one business function and 88% use AI in at least one business function. All regimes preserve already-deployed systems over the short horizon, so this criterion is intentionally non-discriminating.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy
a2,Developer-led responsible scaling,g3,Institutional feasibility,89.0,100.0,Existing developer-led regime: operational public frameworks plus observed release behavior; use 89-100.,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk ; https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing ; https://www.governance.ai/research-paper/coordinated-pausing-evaluation-based-scheme
a2,Developer-led responsible scaling,g4,International robustness / leakage resistance,40.85022977807577,51.23662174765549,Policy effectiveness assumed to rely mainly on concentrated frontier actors; use Wilson 95% CI around CFR's 46% concentration share.,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing
