source_id,organization,title,url,statistic,value,value_type,n,use_in_model,access_date
S01,GovAI,Delays to Frontier AI in the EU and UK,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk,EU delayed/not released share,0.11,proportion,,Used to derive 89% lower access-preservation anchor,2026-09-14
S01,GovAI,Delays to Frontier AI in the EU and UK,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk,UK delayed/not released share,0.07,proportion,,Context for access-preservation envelope,2026-09-14
S01,GovAI,Delays to Frontier AI in the EU and UK,https://www.governance.ai/research-paper/delays-to-frontier-ai-in-the-eu-and-uk,Jan-May 2026 public-release delay share,0.0,proportion,,Used to derive 100% upper access-preservation anchor,2026-09-14
S02,Stanford HAI,AI Index 2026 - Economy,https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,Organizations regularly using generative AI in at least one function,0.79,proportion,,Lower g2 anchor,2026-09-14
S02,Stanford HAI,AI Index 2026 - Economy,https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,Organizations using AI in at least one function,0.88,proportion,,Upper g2 anchor,2026-09-14
S03,Council on Foreign Relations,CFR expert survey on AI future,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing,Experts expecting frontier capability concentration,0.46,proportion,350,g4 anchor; Wilson 95% CI used,2026-09-14
S03,Council on Foreign Relations,CFR expert survey on AI future,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing,Experts expecting frontier capability diffusion,0.54,proportion,350,Complement of concentration share,2026-09-14
S03,Council on Foreign Relations,CFR expert survey on AI future,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing,Upper bound for non-fragmented governance share,0.2,upper_bound,,Because >80% expect fragmented governance,2026-09-14
S03,Council on Foreign Relations,CFR expert survey on AI future,https://www.cfr.org/articles/cfr-surveyed-350-experts-about-ais-future-most-think-governance-is-failing,Experts expecting domestic institutions to keep pace,0.05,proportion,350,Lower g3 anchor for novel mandatory regimes,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Pre-deployment risk assessment support,0.98,proportion,51,g5 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Dangerous-capabilities evaluation support,0.98,proportion,51,g5 practice weight and safety gate,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Safety restrictions on model usage support,0.98,proportion,51,g5 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Red teaming support,0.98,proportion,51,g5 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Pause development if sufficiently dangerous capabilities detected,0.93,proportion,51,g5 practice weight and safety gate,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Third-party model audits support,0.98,proportion,51,g6 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Increasing levels of external scrutiny support,0.94,proportion,51,g6 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Report safety incidents support,0.96,proportion,51,g6 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Publish results of external scrutiny support,0.89,proportion,38,g6 practice weight,2026-09-14
S04,GovAI,Towards Best Practices in AGI Safety and Governance,https://cdn.governance.ai/AGI_Safety_Governance_Practices_GovAIReport.pdf,Third-party governance audits support,0.87,proportion,37,g6 practice weight,2026-09-14
S05,European Commission,General-purpose AI obligations under the AI Act,https://digital-strategy.ec.europa.eu/en/factpages/general-purpose-ai-obligations-under-ai-act,Qualitative legal obligations,,qualitative,,"Model evaluation, systemic-risk mitigation, incident reporting, cybersecurity",2026-09-14
S06,OpenAI,Path to Astra,https://openai.com/index/path-to-astra/,Observed delay for safeguard strengthening,,qualitative,,Evidence that developer-led gating can alter development/release behavior,2026-09-14
S07,OpenAI,Frontier Governance Framework,https://openai.com/index/openai-frontier-governance-framework/,Developer-led governance mechanisms,,qualitative,,Used for feature coding,2026-09-14
S08,Anthropic,Responsible Scaling Policy,https://www.anthropic.com/responsible-scaling-policy,Developer-led capability-triggered safeguards,,qualitative,,Used for feature coding and ambiguity of binding stop,2026-09-14
S09,GovAI,Coordinated Pausing: An Evaluation-Based Scheme,https://www.governance.ai/research-paper/coordinated-pausing-evaluation-based-scheme,Mandatory evaluation-and-pause regime,,qualitative,,Used to define a3/a4 and discuss institutional feasibility,2026-09-14
